,song,artist,chord_progression,key
236,Push,Matchbox Twenty,"['G', 'D/F#', 'Em', 'C']",G
237,Brown Eyed Girl,Van Morrison,"['G', 'C', 'G', 'D']",G
238,Brown Eyed Girl,Van Morrison,"['G', 'D', 'G', 'C']",G
239,Brown Eyed Girl,Van Morrison,"['G', 'C', 'G', 'D']",G
240,Brown Eyed Girl,Van Morrison,"['G', 'D', 'G', 'C']",G
241,Brown Eyed Girl,Van Morrison,"['D7', 'G', 'C', 'G']",G
242,Right Here Waiting,Richard Marx,"['G', 'C', 'G', 'Am', 'F']",C
243,Right Here Waiting,Richard Marx,"['C', 'F', 'Dm', 'G']",C
244,Now And Forever,Richard Marx,"['G', 'D/F#', 'Em', 'Am', 'G6', 'Dsus2/F#']",G
245,Fade To Black,Metallica,"['Am', 'C', 'G', 'Em']",C
246,Fade To Black,Metallica,"['Am', 'C', 'G', 'Em']",C
247,The Unforgiven,Metallica,"['Am', 'Em', 'D']",G
248,The Unforgiven,Metallica,"['Am', 'C', 'G', 'Em']",C
249,The Unforgiven,Metallica,"['Am', 'Em', 'D']",G
250,The Unforgiven,Metallica,"['Am', 'C', 'G']",C
251,Nothing Else Matters,Metallica,"['Em', 'D', 'C']",G
252,Miss You Like Crazy,The Moffatts,"['C', 'D', 'G', 'G/F#', 'Em', 'C', 'D']",G
253,Miss You Like Crazy,The Moffatts,"['C', 'D', 'G', 'G/F#', 'Em']",G
254,Miss You Like Crazy,The Moffatts,"['C', 'D', 'G', 'Am']",G
255,Miss You Like Crazy,The Moffatts,"['A', 'Bm', 'D', 'E']",A
256,Dannys Song,Loggins & Messina,"['G', 'A', 'D', 'Bm']",D
257,Working Class Hero,John Lennon,"['Am', 'Am', 'G', 'Am', 'Am', 'G', 'D']",G
258,Working Class Hero,John Lennon,"['Am', 'Am', 'G']",C
259,Working Class Hero,John Lennon,"['Am', 'Am', 'G']",C
260,Gimme Three Steps,Lynyrd Skynyrd,"['D', 'A', 'D']",D
261,Gimme Three Steps,Lynyrd Skynyrd,"['D', 'D', 'A']",D
262,Gimme Three Steps,Lynyrd Skynyrd,"['A', 'D', 'D']",A
263,Only God Knows Why,Kid Rock,"['E', 'B', 'A', 'E']",E
264,Only God Knows Why,Kid Rock,"['E', 'D', 'A']",A
265,Only God Knows Why,Kid Rock,"['E', 'B', 'A', 'E']",E
266,Only God Knows Why,Kid Rock,"['A', 'E', 'E', 'B']",E
267,Only God Knows Why,Kid Rock,"['E', 'D', 'A']",A
268,Strangers,The Kinks,"['G', 'C', 'F']",C
269,Strangers,The Kinks,"['F', 'C', 'G', 'C']",C
270,Strangers,The Kinks,"['G', 'C', 'F']",C
271,Waterloo Sunset,The Kinks,"['D', 'A', 'G']",D
272,When You Say Nothing At All,Ronan Keating,"['G', 'D', 'C', 'D']",G
273,When You Say Nothing At All,Ronan Keating,"['D', 'C', 'D', 'G']",G
274,When You Say Nothing At All,Ronan Keating,"['D', 'C', 'D', 'G', 'D', 'C']",G
275,When You Say Nothing At All,Ronan Keating,"['C', 'D', 'G', 'D', 'C', 'D']",G
276,When You Say Nothing At All,Ronan Keating,"['G', 'D', 'C', 'D']",G
277,When You Say Nothing At All,Ronan Keating,"['D', 'G', 'D', 'C']",G
278,When You Say Nothing At All,Ronan Keating,"['D', 'C', 'D', 'G']",G
279,When You Say Nothing At All,Ronan Keating,"['E', 'B', 'A', 'B']",E
280,Candle In The Wind,Elton John,"['E', 'A']",E
281,Crocodile Rock,Elton John,"['D', 'G', 'Bm', 'C']",G
282,Im Still Standing,Elton John,"['A', 'A', 'E', 'F#m', 'D', 'A', 'A']",A
283,Can You Feel The Love Tonight,Elton John,"['Eb', 'Gm', 'Eb', 'Cm7', 'Eb', 'Eb/Bb', 'Bb']",Eb
284,Its Still Rock And Roll To Me,Billy Joel,"['C', 'Em', 'Bb', 'F']",F
285,Piano Man,Billy Joel,"['C', 'Am', 'F', 'G11', 'C']",C
286,You Were Meant For Me,Jewel,"['Em', 'C', 'D', 'G', 'D/F#', 'Em', 'C', 'D']",G
287,You Were Meant For Me,Jewel,"['Cadd9', 'C', 'Em', 'Cadd9', 'C', 'D']",G
288,You Were Meant For Me,Jewel,"['Em', 'Cadd9', 'C']",C
289,You Were Meant For Me,Jewel,"['C', 'D', 'G', 'D/F#', 'Em']",G
290,You Were Meant For Me,Jewel,"['Cadd9', 'C', 'Em']",C
291,You Were Meant For Me,Jewel,"['Em', 'Cadd9', 'C']",C
292,You Were Meant For Me,Jewel,"['Em', 'C', 'D']",G
293,Wicked Game,Chris Isaak,"['Bm', 'A', 'E', 'Bm', 'A', 'E', 'Bm', 'A', 'E', 'Bm']",A
294,Wicked Game,Chris Isaak,"['Bm', 'A', 'E', 'Bm', 'A', 'E', 'Bm', 'A', 'E']",A
295,Wicked Game,Chris Isaak,"['Bm', 'A', 'E', 'Bm', 'A', 'E', 'Bm']",A
296,Wicked Game,Chris Isaak,"['Bm', 'A', 'E']",A
297,Wicked Game,Chris Isaak,"['Bm', 'A', 'E', 'Bm']",A
298,Wicked Game,Chris Isaak,"['Bm', 'A', 'E']",A
299,Torn,Natalie Imbruglia,"['F', 'C', 'Dm', 'Bb']",F
300,Torn,Natalie Imbruglia,"['Bb', 'F', 'C', 'Dm']",F
301,Torn,Natalie Imbruglia,"['F', 'Am', 'Bb']",F
302,Torn,Natalie Imbruglia,"['Dm', 'C', 'Bb']",F
303,Hold My Hand,Hootie & the Blowfish,"['B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E']",B
304,Hold My Hand,Hootie & the Blowfish,"['E', 'B', 'E', 'B', 'E', 'B', 'E', 'B', 'E', 'B']",E
305,Hold My Hand,Hootie & the Blowfish,"['B', 'E', 'F#', 'B', 'E', 'F#', 'B', 'E', 'F#', 'E']",B
306,Hold My Hand,Hootie & the Blowfish,"['B', 'E']",B
307,Hold My Hand,Hootie & the Blowfish,"['E', 'B']",E
308,Hold My Hand,Hootie & the Blowfish,"['B', 'E', 'B', 'E', 'B', 'E']",B
309,Hold My Hand,Hootie & the Blowfish,"['E', 'B', 'E', 'B', 'E', 'B']",E
310,Hold My Hand,Hootie & the Blowfish,"['B', 'E']",B
311,Hold My Hand,Hootie & the Blowfish,"['E', 'B']",E
312,Hold My Hand,Hootie & the Blowfish,"['F#', 'E', 'B']",B
313,Hold My Hand,Hootie & the Blowfish,"['B', 'E', 'F#']",B
314,Let Her Cry,Hootie & the Blowfish,"['G', 'C', 'G', 'C', 'Em', 'G', 'D', 'C', 'G', 'D']",G
315,Let Her Cry,Hootie & the Blowfish,"['G', 'D', 'C', 'G']",G
316,Let Her Cry,Hootie & the Blowfish,"['G', 'D', 'C', 'G']",G
317,Let Her Cry,Hootie & the Blowfish,"['G', 'D', 'C']",G
318,Box Of Rain,Grateful Dead,"['Em', 'G', 'D']",G
319,Uncle Johns Band,Grateful Dead,"['G', 'C', 'Am', 'G', 'D', 'C', 'G', 'D', 'C', 'D']",G
320,Uncle Johns Band,Grateful Dead,"['C', 'D', 'G', 'Bm']",G
321,Uncle Johns Band,Grateful Dead,"['C', 'D', 'G', 'Bm']",G
322,Uncle Johns Band,Grateful Dead,"['Dsus2', 'D5']",D
323,Uncle Johns Band,Grateful Dead,"['G', 'C', 'G']",G
324,Uncle Johns Band,Grateful Dead,"['G', 'G', 'C']",G
325,Uncle Johns Band,Grateful Dead,"['G', 'D', 'C']",G
326,Uncle Johns Band,Grateful Dead,"['Dm', 'G', 'C']",C
327,Sweet Child O Mine,Sheryl Crow,"['Em', 'G', 'Am', 'C', 'D']",G
328,Sweet Child O Mine,Sheryl Crow,"['Em', 'G', 'Am', 'C', 'D']",G
329,Sweet Child O Mine,Sheryl Crow,"['D', 'Cadd9', 'G', 'D']",G
330,Sweet Child O Mine,Sheryl Crow,"['D', 'D', 'Cadd9', 'G']",G
331,Patience,Guns N Roses,"['D', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'G']",D
332,Patience,Guns N Roses,"['D', 'G']",D
333,Patience,Guns N Roses,"['D', 'Dsus2', 'D', 'Dsus4', 'D', 'Dsus2', 'D']",D
334,Patience,Guns N Roses,"['D', 'Dsus2', 'D', 'Dsus4', 'D', 'Dsus2']",D
335,Patience,Guns N Roses,"['D', 'G', 'D', 'G', 'D', 'G']",D
336,Patience,Guns N Roses,"['D', 'G']",D
337,Patience,Guns N Roses,"['D', 'Dsus2', 'D']",D
338,Good Riddance Time Of Your Life,Green Day,"['G', 'G', 'Cadd9', 'D']",G
339,Good Riddance Time Of Your Life,Green Day,"['G', 'G', 'Cadd9', 'D']",G
340,Good Riddance Time Of Your Life,Green Day,"['Em', 'D', 'C', 'G']",G
341,Good Riddance Time Of Your Life,Green Day,"['G', 'Cadd9', 'D']",G
